id,headline,URL,author,date
1,Super73 launches Adventure Series and first e-bike for danger babies,https://www.theverge.com/2023/4/2/23662863/super73-adventure-e-bikes-k1d-kids-price-specs,Thomas Ricker,12:08 PM GMT+5:30
2,April Fools’ Day 2023: the best and cringiest pranks,https://www.theverge.com/2023/4/1/23665955/april-fools-day-2023-pranks-jokes-best-worst,Richard Lawler,5:40 AM GMT+5:30
3,"It’s April Fools’ Day, but this Asus ROG Ally handheld gaming PC might not be a joke",https://www.theverge.com/2023/4/1/23666084/asus-rog-ally-handheld-windows-gaming-portable,Richard Lawler,3:42 AM GMT+5:30
4,How to change the region on an HP OfficeJet printer in 57 easy steps (printer companies hate this!),https://www.theverge.com/23648726/hp-officejet-printer-region-how-to-change-why,Nathan Edwards,Apr 1
5,"The Murder of Sonic the Hedgehog is a new, real, and free game you can play right now",https://www.theverge.com/2023/3/31/23665215/sonic-the-hedgehog-murder-mystery-game-free-steam,Antonio G. Di Benedetto,Apr 1
6,"When healthcare is decided by algorithms, who wins?",https://www.theverge.com/23664533/medicare-advantage-healthcare-algorithm,Barbara Krasnoff,Apr 1
7,April Fools’ Day 2023: the best and cringiest pranks,https://www.theverge.com/2023/4/1/23665955/april-fools-day-2023-pranks-jokes-best-worst,Richard Lawler,Apr 1
8,GM is cutting off access to Apple CarPlay and Android Auto for its future EVs,https://www.theverge.com/2023/3/31/23664814/gm-ev-restrict-apple-carplay-android-auto-google,Andrew J. Hawkins,Mar 31
9,The ‘Truckla’ DIY Tesla pickup truck is still trucking,https://www.theverge.com/2023/3/31/23664748/truckla-tesla-model-3-pickup-truck-update-simone-giertz-video,Umar Shakir,Mar 31
10,"Twitter takes its algorithm ‘open-source,’ as Elon Musk promised",https://www.theverge.com/2023/3/31/23664849/twitter-releases-algorithm-musk-open-source,Mitchell Clark,Mar 31
11,How to change the region on an HP OfficeJet printer in 57 easy steps (printer companies hate this!),https://www.theverge.com/23648726/hp-officejet-printer-region-how-to-change-why,Nathan Edwards,Apr 1
12,The newest iPad Mini and Google’s Pixel 6A top our favorite deals of the week,https://www.theverge.com/good-deals/2023/4/1/23665082/google-pixel-6a-sony-wf-1000xm4-earbuds-amazon-echo-ipad-mini-deal-sale,Antonio G. Di Benedetto and Brandon Widder,Apr 1
13,Riot made its esports arena transform for new Valorant league,https://www.theverge.com/2023/4/1/23662992/riot-games-arena-valorant-esports-league,Andrew Webster,Apr 1
14,Quick fixes: When Disney Plus is so dark you can barely see anything,https://www.theverge.com/2023/3/31/23522169/how-to-fix-disney-plus-brightness-dark-hdr-dolby-vision,Sean Hollister,Apr 1
15,This hoverboard is being recalled after a fire that killed two children,https://www.theverge.com/2023/3/31/23665249/hoverboard-recall-jetson-rogue-cspc-recall-fire-risk,Jay Peters,Apr 1
16,Marvel’s Secret Invasion series actually sounds kind of fascinating,https://www.theverge.com/2023/3/31/23665128/marvel-secret-invasion-disney-plus-skrulls,Charles Pulliam-Moore,Apr 1
17,"Twitter’s $1,000 checkmark will be free for the 10,000 most-followed companies",https://www.theverge.com/2023/3/31/23664923/twitter-verification-for-organizations-free-for-most-followed,Mitchell Clark,Apr 1
18,This is what a plant sounds like when it’s stressed,https://www.theverge.com/2023/3/31/23664767/plant-sounds-stress-tomato-tobacco-research,Justine Calma,Apr 1
19,The ‘Truckla’ DIY Tesla pickup truck is still trucking,https://www.theverge.com/2023/3/31/23664748/truckla-tesla-model-3-pickup-truck-update-simone-giertz-video,Umar Shakir,Apr 1
20,"Twitter takes its algorithm ‘open-source,’ as Elon Musk promised",https://www.theverge.com/2023/3/31/23664849/twitter-releases-algorithm-musk-open-source,Mitchell Clark,Apr 1
21,GM is cutting off access to Apple CarPlay and Android Auto for its future EVs,https://www.theverge.com/2023/3/31/23664814/gm-ev-restrict-apple-carplay-android-auto-google,Andrew J. Hawkins,Mar 31
22,Vampire Survivors’ new fantasy-themed expansion launches in April for just $2,https://www.theverge.com/2023/3/31/23664809/vampire-survivors-tides-of-the-foscari-fantasy-dlc-expansion-release-date,Jay Peters,Mar 31
23,Amazon to adapt Aaron Foley’s Boys Come First as a new series,https://www.theverge.com/2023/3/31/23664595/amazon-boys-come-first-aaron-foley-chuck-hayward,Charles Pulliam-Moore,Mar 31
24,"Fewer EVs will qualify for the federal $7,500 tax credit under updated rules",https://www.theverge.com/2023/3/31/23664636/federal-ev-tax-credit-vehicles-qualify-eligible-battery-china,Andrew J. Hawkins,Mar 31
25,"The surprisingly complex business of toys, with Hasbro CEO Chris Cocks",https://www.theverge.com/2023/3/31/23664113/toys-hasbro-ceo-chris-cocks-magic-dungeons-and-dragons-transformers-business,Nilay Patel,Mar 31
26,Google’s last-gen Pixel 6 Pro is half off right now at Woot,https://www.theverge.com/2023/3/31/23663053/google-pixel-6-pro-playstation-store-spring-sale-belkin-3-in-1-charger-ray-ban-stories-deal,Sheena Vasani,Mar 31
27,How to install the latest iOS 16 and iPadOS 16 public betas,https://www.theverge.com/23200304/ios-16-beta-install-apple-how-to,Cameron Faulkner and Umar Shakir,Mar 31
28,Quick fixes: When Disney Plus is so dark you can barely see anything,https://www.theverge.com/2023/3/31/23522169/how-to-fix-disney-plus-brightness-dark-hdr-dolby-vision,Sean Hollister,Apr 1
29,How to install the latest iOS 16 and iPadOS 16 public betas,https://www.theverge.com/23200304/ios-16-beta-install-apple-how-to,Cameron Faulkner and Umar Shakir,Mar 31
30,"E3 might be gone, but this summer still has some big gaming events to watch",https://www.theverge.com/23663889/e3-summer-gaming-events-2023-game-fest-xbox-starfield-ubisoft,Jay Peters,Mar 31
31,Super73 launches Adventure Series and first e-bike for danger babies,https://www.theverge.com/2023/4/2/23662863/super73-adventure-e-bikes-k1d-kids-price-specs,Thomas Ricker,12:08 PM GMT+5:30
32,April Fools’ Day 2023: the best and cringiest pranks,https://www.theverge.com/2023/4/1/23665955/april-fools-day-2023-pranks-jokes-best-worst,Richard Lawler,5:40 AM GMT+5:30
33,"It’s April Fools’ Day, but this Asus ROG Ally handheld gaming PC might not be a joke",https://www.theverge.com/2023/4/1/23666084/asus-rog-ally-handheld-windows-gaming-portable,Richard Lawler,3:42 AM GMT+5:30
34,The newest iPad Mini and Google’s Pixel 6A top our favorite deals of the week,https://www.theverge.com/good-deals/2023/4/1/23665082/google-pixel-6a-sony-wf-1000xm4-earbuds-amazon-echo-ipad-mini-deal-sale,Antonio G. Di Benedetto and Brandon Widder,Apr 1
35,How to change the region on an HP OfficeJet printer in 57 easy steps (printer companies hate this!),https://www.theverge.com/23648726/hp-officejet-printer-region-how-to-change-why,Nathan Edwards,Apr 1
36,Amazon just opened up its Sidewalk network for anyone to build connected gadgets on,https://www.theverge.com/2023/3/28/23659191/amazon-sidewalk-network-coverage,Jennifer Pattison Tuohy,Apr 1
37,This hoverboard is being recalled after a fire that killed two children,https://www.theverge.com/2023/3/31/23665249/hoverboard-recall-jetson-rogue-cspc-recall-fire-risk,Jay Peters,Apr 1
38,"Twitter’s $1,000 checkmark will be free for the 10,000 most-followed companies",https://www.theverge.com/2023/3/31/23664923/twitter-verification-for-organizations-free-for-most-followed,Mitchell Clark,Apr 1
39,"The Murder of Sonic the Hedgehog is a new, real, and free game you can play right now",https://www.theverge.com/2023/3/31/23665215/sonic-the-hedgehog-murder-mystery-game-free-steam,Antonio G. Di Benedetto,Apr 1
40,The ‘Truckla’ DIY Tesla pickup truck is still trucking,https://www.theverge.com/2023/3/31/23664748/truckla-tesla-model-3-pickup-truck-update-simone-giertz-video,Umar Shakir,Apr 1
41,"Twitter takes its algorithm ‘open-source,’ as Elon Musk promised",https://www.theverge.com/2023/3/31/23664849/twitter-releases-algorithm-musk-open-source,Mitchell Clark,Apr 1
42,"Bing, Bard, and ChatGPT: AI chatbots are rewriting the internet",https://www.theverge.com/23610427/chatbots-chatgpt-new-bing-google-bard-conversational-ai,Umar Shakir,Mar 24
43,GM is cutting off access to Apple CarPlay and Android Auto for its future EVs,https://www.theverge.com/2023/3/31/23664814/gm-ev-restrict-apple-carplay-android-auto-google,Andrew J. Hawkins,Mar 31
44,Vampire Survivors’ new fantasy-themed expansion launches in April for just $2,https://www.theverge.com/2023/3/31/23664809/vampire-survivors-tides-of-the-foscari-fantasy-dlc-expansion-release-date,Jay Peters,Mar 31
45,Amazon to adapt Aaron Foley’s Boys Come First as a new series,https://www.theverge.com/2023/3/31/23664595/amazon-boys-come-first-aaron-foley-chuck-hayward,Charles Pulliam-Moore,Mar 31
46,"Elon Musk bought Twitter, and here’s everything that happened next",https://www.theverge.com/2022/4/11/23019836/elon-musk-twitter-board-of-directors-news-updates,Richard Lawler,Jan 31
47,"Fewer EVs will qualify for the federal $7,500 tax credit under updated rules",https://www.theverge.com/2023/3/31/23664636/federal-ev-tax-credit-vehicles-qualify-eligible-battery-china,Andrew J. Hawkins,Mar 31
48,Google’s last-gen Pixel 6 Pro is half off right now at Woot,https://www.theverge.com/2023/3/31/23663053/google-pixel-6-pro-playstation-store-spring-sale-belkin-3-in-1-charger-ray-ban-stories-deal,Sheena Vasani,Mar 31
49,Why the AI industry could stand to slow down a little,https://www.theverge.com/23664519/ai-industry-pause-open-letter-societal-harms,Casey Newton,Mar 31
50,Aqara Video Doorbell G4 review: this battery-powered buzzer needs to go back to basics,https://www.theverge.com/23654936/aqara-g4-video-doorbell-review,Jennifer Pattison Tuohy,Mar 27
51,Amazfit Band 7 review: where did all the budget trackers go?,https://www.theverge.com/23652417/amazfit-band-7-review-budget-fitness-tracker,Victoria Song,Mar 25
52,Tesla’s Wireless Charging Platform does what AirPower couldn’t,https://www.theverge.com/23652493/tesla-wireless-charging-platform-qi-airpower-features-specs-price,Antonio G. Di Benedetto,Mar 23
53,Engwe M20 e-bike review: a budget Super73,https://www.theverge.com/23648528/engwe-electric-bike-review-fat-tire-eu-cheat,Thomas Ricker,Mar 23
54,Nothing Ear 2 review: it’s what’s on the inside that counts,https://www.theverge.com/23649968/nothing-ear-2-review-wireless-earbuds,Jon Porter,Mar 22
55,"Nomad’s latest fancy MagSafe charger is aluminum, heavy, and $110",https://www.theverge.com/23649034/nomad-stand-one-apple-iphone-magsafe-charger-review-specs-features,Antonio G. Di Benedetto,Mar 22
56,The best Bluetooth speakers to buy right now,https://www.theverge.com/23022617/best-bluetooth-speakers,Chris Welch,Mar 21
57,The best mechanical keyboards to buy right now,https://www.theverge.com/23384750/best-mechanical-keyboard-wired-wireless-75-percent-layout-cheap-bluetooth,Jon Porter,Mar 21
58,This Apple Pencil clone provides 80 percent of the experience for a quarter of the price,https://www.theverge.com/23636586/apple-pencil-2nd-generation-knockoff-clone-budget-review,Dan Seifert,Mar 18
59,The best workout earbuds you can buy right now,https://www.theverge.com/23413809/best-workout-fitness-running-earbuds,Chris Welch,Mar 17
60,Ugreen’s Nexode 140W charger is for 16-inch MacBook Pro trekkers,https://www.theverge.com/23634223/ugreen-nexode-140w-charger-pd-3-1-usb-c-macbook-pro-16-inch-m1-m2-review,Umar Shakir,Mar 17
61,The best floodlight cameras,https://www.theverge.com/22811985/best-smart-floodlight-security-camera,Jennifer Pattison Tuohy,Mar 16
62,I’m sick of reviewing gorgeous Chromebooks with bad battery,https://www.theverge.com/23641867/hp-dragonfly-pro-chromebook-2023-review-chromeos-laptop-review,Monica Chin,Mar 16
63,The HP Dragonfly Pro is a great laptop with some odd extra stuff,https://www.theverge.com/23640026/hp-dragonfly-pro-2022-review-price-specs-features-intel,Monica Chin,Mar 16
64,How to choose between the AirPods Pro and Beats Fit Pro,https://www.theverge.com/23637802/airpods-pro-2-beats-fit-pro-how-to-choose,Chris Welch,Mar 15
65,The best iPad to buy right now,https://www.theverge.com/23639378/best-ipad-apple-buy-model-price,Dan Seifert,Mar 15
66,Garmin Forerunner 265S review: the Goldilocks of running watches,https://www.theverge.com/23632332/garmin-forerunner-265s-review-oled-smartwatch-running,Victoria Song,Mar 15
67,Keychron Q1 Pro review: they actually pulled it off,https://www.theverge.com/23633720/keychron-q1-pro-review-wireless-mechanical-keyboard,Jon Porter,Mar 14
68,"Yes, paper-feel screen protectors for the iPad are good",https://www.theverge.com/23634258/ipad-paper-feel-matte-screen-protector-guide,Dan Seifert,Mar 11
69,This smart oven solved my work-from-home lunchtime conundrum,https://www.theverge.com/23633000/tovala-smart-oven-air-fryer-review,Jennifer Pattison Tuohy,Mar 11
70,The best wireless earbuds to buy right now,https://www.theverge.com/21309820/best-wireless-earbuds,Chris Welch,Mar 11
71,The best noise-canceling headphones to buy right now,https://www.theverge.com/21345733/best-noise-canceling-headphones,Chris Welch,Mar 10
72,Dell’s Latitude 7330 convinced me that business laptops are too expensive,https://www.theverge.com/23630381/dell-latitude-7330-review-design-specs-price-features,Monica Chin,Mar 10
73,What’s the best student laptop? We asked students,https://www.theverge.com/21369381/best-student-laptops-school-high-college,Monica Chin,Mar 9
74,Apple Watch Ultra review: an aspirational debut,https://www.theverge.com/23363948/apple-watch-ultra-review-rugged-smartwatch-gps,Victoria Song,Mar 7
75,The best Chromebook for 2023,https://www.theverge.com/21296102/best-chromebooks,Monica Chin,Mar 7
76,I forgot how good the Apple Watch Ultra’s GPS is until I tried track detection,https://www.theverge.com/23627236/apple-watch-ultra-track-detection-gps,Victoria Song,Mar 7
77,All the streaming boxes suck now,https://www.theverge.com/23621907/streaming-tv-boxes-roku-amazon-google-apple-nvidia,David Pierce,Mar 6
78,The best smart locks you can buy right now,https://www.theverge.com/23393163/best-smart-door-lock,Jennifer Pattison Tuohy,Mar 4
79,Sennheiser’s Ambeo Soundbar Plus is a sonic marvel with compromises,https://www.theverge.com/23622560/sennheiser-ambeo-soundbar-plus-review-atmos,Chris Welch,Mar 3
80,The best video doorbell camera to buy right now,https://www.theverge.com/22954554/best-video-doorbell-camera,Jennifer Pattison Tuohy,Mar 2
81,This is what a plant sounds like when it’s stressed,https://www.theverge.com/2023/3/31/23664767/plant-sounds-stress-tomato-tobacco-research,Justine Calma,Apr 1
82,Virgin Orbit to cease all operations and lay off 85 percent of its workforce,https://www.theverge.com/2023/3/31/23664437/virgin-orbit-layoffs-cease-operations-satellite-launch,Jess Weatherbed,Mar 31
83,Oura study shows covid-19 can impact your biometrics for weeks after infection,https://www.theverge.com/23660400/oura-ring-covid-19-illness-detection-biometrics-heart-rate-sleep,Victoria Song,Mar 29
84,"When healthcare is decided by algorithms, who wins?",https://www.theverge.com/23664533/medicare-advantage-healthcare-algorithm,Barbara Krasnoff,Apr 1
85,Carbon capture will probably make electricity more expensive,https://www.theverge.com/2023/3/30/23663202/carbon-capture-electricity-gas-coal-power-plants-climate-change,Justine Calma,Mar 31
86,Google plans to share heat alerts in search,https://www.theverge.com/2023/3/29/23660577/google-search-heat-alerts,Justine Calma,Mar 29
87,E-fuels could keep combustion engine cars on the road in the EU past its 2035 climate deadline,https://www.theverge.com/2023/3/28/23660005/e-fuels-internal-combustion-engine-car-european-union-2035-climate-deadline,Justine Calma,Mar 29
88,Scientists erupt at NASA gutting funding for crucial Venus mission,https://www.theverge.com/2023/3/28/23658646/nasa-venus-funding-scientist-reaction-volcano-veritas,Georgina Torbet,Mar 28
89,Amazon starts flagging ‘frequently returned’ products that you maybe shouldn’t buy,https://www.theverge.com/2023/3/28/23659868/amazon-returns-warning-product-reviews-tag-feature,Jess Weatherbed,Mar 28
90,The race for more battery materials could cause ‘irreversible’ damage under the sea,https://www.theverge.com/2023/3/27/23658352/ev-battery-deep-sea-mining,Justine Calma,Mar 28
91,Window AC units and air purifiers in the US are about to get more energy-efficient,https://www.theverge.com/2023/3/24/23654817/energy-efficiency-standards-doe-window-ac-air-purifier,Justine Calma,Mar 24
92,Wind energy is recovering from a 2022 slump,https://www.theverge.com/2023/3/23/23653317/wind-energy-recovery-inflation-tax-subsidies,Justine Calma,Mar 24
93,Microsoft inks another deal to capture and store its carbon emissions underground,https://www.theverge.com/2023/3/22/23651587/microsoft-climate-tech-startup-carboncapture-wyoming,Justine Calma,Mar 22
94,SpaceX’s Starlink and other satellite internet providers are making light pollution worse for astronomers,https://www.theverge.com/2023/3/21/23649937/starlink-spacex-satellite-light-pollution-nature-astronomy,Justine Calma,Mar 22
95,This human-size robot now has ‘eyes’ that show people where it’s going,https://www.theverge.com/2023/3/20/23648343/agility-robotics-digit-next-gen-bipedal-bot,Emma Roth,Mar 21
96,United Nations warns 2050 net-zero climate goals are already outdated,https://www.theverge.com/2023/3/20/23645323/united-nations-report-climate-change-goals-net-zero-emissions,Justine Calma,Mar 20
97,Nordic citizens are again ‘happiest’ as US climbs to 15th on global list,https://www.theverge.com/2023/3/20/23648129/world-happiness-report-2023-finland-ukraine-russia-war,Jess Weatherbed,Mar 20
98,"If you’re diabetic, don’t wait for your smartwatch to replace your needles",https://www.theverge.com/2023/3/18/23618649/noninvasive-blood-glucose-monitoring-wearables-smartwatches,Victoria Song,Mar 18
99,Hidden Systems is the book I’ll use to teach my kids how the internet works,https://www.theverge.com/2023/3/17/23645204/hidden-systems-book-internet-water-power,Sean Hollister,Mar 18
100,The real (and sometimes controversial) science behind Apple’s Extrapolations,https://www.theverge.com/23643667/apple-extrapolations-show-science-guide-climate-change,Justine Calma,Mar 17
101,"California’s drought has eased, but the state isn’t out of the woods yet",https://www.theverge.com/2023/3/16/23643203/california-drought-storm-rain-snow-flood-water-spring-outlook,Justine Calma,Mar 17
102,The night sky is always getting faked,https://www.theverge.com/2023/3/16/23640343/samsung-astrophotography-night-sky-moon-fake,Emma Roth,Mar 16
103,SpaceX Starlink rolls out $200 per month ‘global’ satellite internet package,https://www.theverge.com/2023/3/15/23641944/spacex-starlink-global-satellite-internet-portable-mobile,Richard Lawler and Emma Roth,Mar 16
104,Here’s the new spacesuit that astronauts will wear when they return to the Moon,https://www.theverge.com/2023/3/15/23641727/nasa-astronaut-spacesuit-artemis-iii-moon-axiom-space,Georgina Torbet,Mar 15
105,How data centers at public pools can keep swimmers warm,https://www.theverge.com/23641207/data-center-pools-united-kingdom-energy-cost-saving,Justine Calma,Mar 15
106,"Oura is adding chronotypes to its smart ring, but without the cute animals",https://www.theverge.com/2023/3/15/23640205/oura-ring-sleep-tracking-chronotype-circadian-rhythm,Victoria Song,Mar 15
107,"Fitbit users are mad, and Google’s solution won’t help",https://www.theverge.com/2023/3/14/23639652/google-fitbit-premium-wearables-health-metrics,Victoria Song,Mar 15
108,Floating solar panels could completely power thousands of cities,https://www.theverge.com/2023/3/14/23639474/floating-solar-panels-power-cities-renewable-energy,Justine Calma,Mar 14
109,TikTok is adding a third feed just for science and math videos,https://www.theverge.com/2023/3/14/23638892/tiktok-stem-feed-fyp-science-technology-content-moderation,Mia Sato,Mar 14
110,Amazon reveals its squared-off Project Kuiper  satellite internet dishes,https://www.theverge.com/2023/3/14/23639450/amazon-project-kuiper-satellite-dish-internet,Emma Roth,Mar 14
111,The shape of Kirby,https://www.theverge.com/2023/3/31/23663707/kirby-interview-gdc-2023-kirby-and-the-forgotten-land-nintendo,Ash Parrish,Mar 31
112,The best ways to play Tetris in 2023,https://www.theverge.com/2023/3/31/23663214/best-ways-to-play-tetris-2023,Andrew Webster,Mar 31
113,April Fools’ Day 2023: the best and cringiest pranks,https://www.theverge.com/2023/4/1/23665955/april-fools-day-2023-pranks-jokes-best-worst,Richard Lawler,5:40 AM GMT+5:30
114,"It’s April Fools’ Day, but this Asus ROG Ally handheld gaming PC might not be a joke",https://www.theverge.com/2023/4/1/23666084/asus-rog-ally-handheld-windows-gaming-portable,Richard Lawler,3:42 AM GMT+5:30
115,The newest iPad Mini and Google’s Pixel 6A top our favorite deals of the week,https://www.theverge.com/good-deals/2023/4/1/23665082/google-pixel-6a-sony-wf-1000xm4-earbuds-amazon-echo-ipad-mini-deal-sale,Antonio G. Di Benedetto and Brandon Widder,Apr 1
116,Riot made its esports arena transform for new Valorant league,https://www.theverge.com/2023/4/1/23662992/riot-games-arena-valorant-esports-league,Andrew Webster,Apr 1
117,Quick fixes: When Disney Plus is so dark you can barely see anything,https://www.theverge.com/2023/3/31/23522169/how-to-fix-disney-plus-brightness-dark-hdr-dolby-vision,Sean Hollister,Apr 1
118,Marvel’s Secret Invasion series actually sounds kind of fascinating,https://www.theverge.com/2023/3/31/23665128/marvel-secret-invasion-disney-plus-skrulls,Charles Pulliam-Moore,Apr 1
119,"The Murder of Sonic the Hedgehog is a new, real, and free game you can play right now",https://www.theverge.com/2023/3/31/23665215/sonic-the-hedgehog-murder-mystery-game-free-steam,Antonio G. Di Benedetto,Apr 1
120,Vampire Survivors’ new fantasy-themed expansion launches in April for just $2,https://www.theverge.com/2023/3/31/23664809/vampire-survivors-tides-of-the-foscari-fantasy-dlc-expansion-release-date,Jay Peters,Mar 31
121,Amazon to adapt Aaron Foley’s Boys Come First as a new series,https://www.theverge.com/2023/3/31/23664595/amazon-boys-come-first-aaron-foley-chuck-hayward,Charles Pulliam-Moore,Mar 31
122,Google’s last-gen Pixel 6 Pro is half off right now at Woot,https://www.theverge.com/2023/3/31/23663053/google-pixel-6-pro-playstation-store-spring-sale-belkin-3-in-1-charger-ray-ban-stories-deal,Sheena Vasani,Mar 31
123,E3 isn’t coming back,https://www.theverge.com/2023/3/30/23664044/e3-cancelled-isnt-coming-back,Jay Peters,Mar 31
124,"Summer gaming events 2023: with E3 canceled, here’s what’s next",https://www.theverge.com/2023/3/30/23663989/summer-gaming-events-2023-e3-canceled-news-announcements,Jay Peters,Mar 31
125,"E3 might be gone, but this summer still has some big gaming events to watch",https://www.theverge.com/23663889/e3-summer-gaming-events-2023-game-fest-xbox-starfield-ubisoft,Jay Peters,Mar 31
126,"I never went to E3, but I’ll miss it anyways",https://www.theverge.com/2023/3/30/23663862/e3-2023-cancelled-esa-reedpop,Ash Parrish,Mar 31
127,E3 2023 has been canceled,https://www.theverge.com/2023/3/30/23660456/e3-2023-canceled,Ash Parrish and Jay Peters,Mar 31
128,You can now use Netflix’s cheaper ads plan on your Apple TV,https://www.theverge.com/2023/3/30/23663693/netflix-basic-with-ads-supported-apple-tv,Jay Peters,Mar 31
129,Star Trek: Starfleet Academy will follow the most ambitious students in the galaxy,https://www.theverge.com/2023/3/30/23663457/star-trek-starfleet-academy-paramount-plus-streaming-tv-2024,Callie Wright,Mar 31
130,The Last of Us on PC gets patches to fix some performance issues,https://www.theverge.com/2023/3/30/23662961/the-last-of-us-pc-patch-performance-fixes,Tom Warren,Mar 30
131,The OverDrive library ebook app is shutting down on May 1st,https://www.theverge.com/2023/3/30/23662976/overdrive-libby-ebook-lending-library-apps-transition,Umar Shakir,Mar 30
132,Ring’s best video doorbell is 30 percent off today for Verge readers,https://www.theverge.com/good-deals/2023/3/30/23662167/ring-video-doorbell-pro-2-ps5-bundle-amazon-kindle-paperwhite-deal-sale,Brandon Widder,Mar 30
133,The English dub trailer for Makoto Shinkai’s Suzume is for closers,https://www.theverge.com/2023/3/30/23662996/suzume-english-dub-trailer-makoto-shinkai,Charles Pulliam-Moore,Mar 30
134,Netflix is bringing back the cast of Scott Pilgrim vs. The World for its anime series,https://www.theverge.com/2023/3/30/23663056/netflix-scott-pilgrim-anime-cast,Andrew Webster,Mar 30
135,Roku is laying off another 6 percent of its workforce,https://www.theverge.com/2023/3/30/23662873/roku-layoffs-2023-200-employees,Jon Porter,Mar 30
136,"Marshall, the iconic amp manufacturer, is being acquired by Marshall speaker maker Zound",https://www.theverge.com/2023/3/30/23660187/marshall-zound-merger-acquisition-bluetooth-headphones-speakers-amps,Jon Porter,Mar 30
137,Netflix might let you use an iPhone to control games on your TV,https://www.theverge.com/2023/3/29/23662548/netflix-iphone-controller-games-code-test,Jay Peters,Mar 30
138,Fortnite now shows how many people are playing Battle Royale — and every other island,https://www.theverge.com/2023/3/29/23662293/fortnite-battle-royale-player-count-discover,Jay Peters,Mar 30
